Teacher,Subject,Class,Hours,Shift,Subgroup,RoomType
Учитель_Укр. мова_1,Укр. мова,1-А,3,1,whole,standard
Учитель_Математика_4,Математика,1-А,4,1,whole,standard
Учитель_Англ. мова_8,Англ. мова,1-А,3,1,1,standard
Учитель_Англ. мова_13,Англ. мова,1-А,3,1,2,standard
Учитель_Фізична культура_33,Фізична культура,1-А,3,1,whole,gym
Учитель_Інформатика_19,Інформатика,1-А,2,1,1,it
Учитель_Інформатика_74,Інформатика,1-А,2,1,2,it
Учитель_Укр. мова_23,Укр. мова,1-Б,3,1,whole,standard
Учитель_Математика_5,Математика,1-Б,4,1,whole,standard
Учитель_Англ. мова_18,Англ. мова,1-Б,3,1,1,standard
Учитель_Англ. мова_66,Англ. мова,1-Б,3,1,2,standard
Учитель_Фізична культура_35,Фізична культура,1-Б,3,1,whole,gym
Учитель_Інформатика_100,Інформатика,1-Б,2,1,1,it
Учитель_Інформатика_151,Інформатика,1-Б,2,1,2,it
Учитель_Укр. мова_24,Укр. мова,1-В,3,1,whole,standard
Учитель_Математика_14,Математика,1-В,4,1,whole,standard
Учитель_Англ. мова_77,Англ. мова,1-В,3,1,1,standard
Учитель_Англ. мова_79,Англ. мова,1-В,3,1,2,standard
Учитель_Фізична культура_53,Фізична культура,1-В,3,1,whole,gym
Учитель_Інформатика_154,Інформатика,1-В,2,1,1,it
Учитель_Інформатика_155,Інформатика,1-В,2,1,2,it
Учитель_Укр. мова_25,Укр. мова,1-Г,3,1,whole,standard
Учитель_Математика_21,Математика,1-Г,4,1,whole,standard
Учитель_Англ. мова_83,Англ. мова,1-Г,3,1,1,standard
Учитель_Англ. мова_97,Англ. мова,1-Г,3,1,2,standard
Учитель_Фізична культура_87,Фізична культура,1-Г,3,1,whole,gym
Учитель_Інформатика_155,Інформатика,1-Г,2,1,1,it
Учитель_Інформатика_154,Інформатика,1-Г,2,1,2,it
Учитель_Укр. мова_36,Укр. мова,1-Д,3,1,whole,standard
Учитель_Математика_47,Математика,1-Д,4,1,whole,standard
Учитель_Англ. мова_113,Англ. мова,1-Д,3,1,1,standard
Учитель_Англ. мова_132,Англ. мова,1-Д,3,1,2,standard
Учитель_Фізична культура_104,Фізична культура,1-Д,3,1,whole,gym
Учитель_Інформатика_151,Інформатика,1-Д,2,1,1,it
Учитель_Інформатика_100,Інформатика,1-Д,2,1,2,it
Учитель_Укр. мова_48,Укр. мова,1-Е,3,1,whole,standard
Учитель_Математика_101,Математика,1-Е,4,1,whole,standard
Учитель_Англ. мова_136,Англ. мова,1-Е,3,1,1,standard
Учитель_Англ. мова_140,Англ. мова,1-Е,3,1,2,standard
Учитель_Фізична культура_115,Фізична культура,1-Е,3,1,whole,gym
Учитель_Інформатика_74,Інформатика,1-Е,2,1,1,it
Учитель_Інформатика_19,Інформатика,1-Е,2,1,2,it
Учитель_Укр. мова_50,Укр. мова,1-Ж,3,1,whole,standard
Учитель_Математика_142,Математика,1-Ж,4,1,whole,standard
Учитель_Англ. мова_144,Англ. мова,1-Ж,3,1,1,standard
Учитель_Англ. мова_146,Англ. мова,1-Ж,3,1,2,standard
Учитель_Фізична культура_117,Фізична культура,1-Ж,3,1,whole,gym
Учитель_Інформатика_19,Інформатика,1-Ж,2,1,1,it
Учитель_Інформатика_74,Інформатика,1-Ж,2,1,2,it
Учитель_Укр. мова_131,Укр. мова,1-З,3,1,whole,standard
Учитель_Математика_167,Математика,1-З,4,1,whole,standard
Учитель_Англ. мова_156,Англ. мова,1-З,3,1,1,standard
Учитель_Англ. мова_156,Англ. мова,1-З,3,1,2,standard
Учитель_Фізична культура_128,Фізична культура,1-З,3,1,whole,gym
Учитель_Інформатика_100,Інформатика,1-З,2,1,1,it
Учитель_Інформатика_151,Інформатика,1-З,2,1,2,it
Учитель_Укр. мова_149,Укр. мова,1-И,3,1,whole,standard
Учитель_Математика_168,Математика,1-И,4,1,whole,standard
Учитель_Англ. мова_146,Англ. мова,1-И,3,1,1,standard
Учитель_Англ. мова_144,Англ. мова,1-И,3,1,2,standard
Учитель_Фізична культура_128,Фізична культура,1-И,3,1,whole,gym
Учитель_Інформатика_154,Інформатика,1-И,2,1,1,it
Учитель_Інформатика_155,Інформатика,1-И,2,1,2,it
Учитель_Укр. мова_166,Укр. мова,1-К,3,1,whole,standard
Учитель_Математика_168,Математика,1-К,4,1,whole,standard
Учитель_Англ. мова_140,Англ. мова,1-К,3,1,1,standard
Учитель_Англ. мова_136,Англ. мова,1-К,3,1,2,standard
Учитель_Фізична культура_117,Фізична культура,1-К,3,1,whole,gym
Учитель_Інформатика_155,Інформатика,1-К,2,1,1,it
